epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1856.87,0.31042,0.16938,0.84471,0.9993,1,0.995,0.91321,0.45203,0.17647,0.89062,0.000399689,0.000399689,0.000399689
104,1874.79,0.31122,0.16438,0.82982,0.99933,1,0.995,0.946,0.33207,0.14663,0.83561,0.000385196,0.000385196,0.000385196
105,1892.54,0.31224,0.16808,0.83448,0.99916,1,0.995,0.92018,0.42114,0.16525,0.86618,0.000370902,0.000370902,0.000370902
106,1910.39,0.30788,0.16394,0.82911,0.9992,1,0.995,0.93098,0.38071,0.15799,0.85607,0.000356815,0.000356815,0.000356815
107,1928.48,0.31405,0.16539,0.8364,0.99934,1,0.995,0.94963,0.34817,0.14666,0.83448,0.000342941,0.000342941,0.000342941
108,1946.17,0.30608,0.16393,0.8377,0.99932,1,0.995,0.93969,0.34939,0.15342,0.8331,0.000329286,0.000329286,0.000329286
109,1964.02,0.31187,0.16253,0.82743,0.99964,1,0.995,0.92833,0.39316,0.15474,0.85478,0.000315855,0.000315855,0.000315855
110,1981.95,0.30754,0.16039,0.83326,0.99929,1,0.995,0.93984,0.36488,0.14633,0.84947,0.000302655,0.000302655,0.000302655
111,1999.62,0.30907,0.15873,0.83994,0.99935,1,0.995,0.94588,0.34541,0.14377,0.83459,0.000289692,0.000289692,0.000289692
112,2017.47,0.29802,0.15748,0.83226,0.99922,1,0.995,0.94171,0.36431,0.15207,0.84041,0.000276971,0.000276971,0.000276971
113,2035.71,0.29672,0.15657,0.82855,0.99925,1,0.995,0.93772,0.38126,0.15675,0.84214,0.000264497,0.000264497,0.000264497
114,2053.5,0.29002,0.15364,0.83258,0.99929,1,0.995,0.95387,0.32019,0.14356,0.82289,0.000252277,0.000252277,0.000252277
115,2071.84,0.2926,0.15301,0.82829,0.99923,1,0.995,0.94553,0.35679,0.15005,0.84575,0.000240316,0.000240316,0.000240316
116,2089.59,0.29208,0.15553,0.82523,0.99932,1,0.995,0.93894,0.37513,0.15727,0.84801,0.000228618,0.000228618,0.000228618
117,2107.49,0.29785,0.15645,0.83474,0.99928,1,0.995,0.95616,0.33422,0.14793,0.83777,0.000217189,0.000217189,0.000217189
118,2125.79,0.28769,0.15326,0.82877,0.99916,1,0.995,0.94157,0.36778,0.15737,0.84975,0.000206034,0.000206034,0.000206034
119,2143.9,0.30457,0.15611,0.84249,0.99926,1,0.995,0.93084,0.38423,0.15297,0.85045,0.000195159,0.000195159,0.000195159
120,2161.74,0.28922,0.15037,0.82404,0.9993,1,0.995,0.95641,0.32662,0.13638,0.82913,0.000184566,0.000184566,0.000184566
121,2179.9,0.2873,0.1495,0.83118,0.99925,1,0.995,0.93851,0.3456,0.14414,0.83643,0.000174262,0.000174262,0.000174262
122,2197.5,0.29324,0.15159,0.82742,0.99924,1,0.995,0.94725,0.33268,0.14034,0.82795,0.000164251,0.000164251,0.000164251
123,2215.37,0.2761,0.14577,0.81551,0.99925,1,0.995,0.93953,0.36988,0.14943,0.84637,0.000154538,0.000154538,0.000154538
124,2233.43,0.28313,0.14833,0.82841,0.99929,1,0.995,0.95106,0.34781,0.14196,0.83784,0.000145125,0.000145125,0.000145125
125,2251.28,0.28611,0.14936,0.82618,0.99932,1,0.995,0.95076,0.33813,0.13983,0.83417,0.000136018,0.000136018,0.000136018
126,2269.12,0.28616,0.14639,0.81929,0.99914,1,0.995,0.94152,0.35547,0.14808,0.84092,0.000127221,0.000127221,0.000127221
127,2286.86,0.27961,0.14707,0.82783,0.9992,1,0.995,0.94196,0.34802,0.14164,0.83568,0.000118737,0.000118737,0.000118737
128,2304.81,0.28148,0.14641,0.82741,0.99931,1,0.995,0.94538,0.34604,0.1424,0.83793,0.000110571,0.000110571,0.000110571
129,2322.74,0.28179,0.14733,0.82878,0.99929,1,0.995,0.95078,0.34705,0.14333,0.83766,0.000102725,0.000102725,0.000102725
130,2340.98,0.28119,0.14693,0.8176,0.99934,1,0.995,0.95239,0.33084,0.13829,0.83278,9.52034e-05,9.52034e-05,9.52034e-05
131,2383.07,0.25754,0.12276,0.81173,0.99928,1,0.995,0.95216,0.31317,0.13222,0.826,8.80093e-05,8.80093e-05,8.80093e-05
132,2400.82,0.25827,0.12413,0.80578,0.99931,1,0.995,0.94757,0.31631,0.13574,0.82344,8.11458e-05,8.11458e-05,8.11458e-05
133,2418.4,0.25564,0.12349,0.80984,0.99928,1,0.995,0.95303,0.32396,0.13585,0.82722,7.4616e-05,7.4616e-05,7.4616e-05
134,2436.11,0.25693,0.12325,0.81493,0.99931,1,0.995,0.95099,0.33495,0.13848,0.83185,6.84227e-05,6.84227e-05,6.84227e-05
135,2453.83,0.25425,0.11996,0.80075,0.99935,1,0.995,0.95285,0.32069,0.13343,0.82568,6.25687e-05,6.25687e-05,6.25687e-05
136,2471.93,0.25416,0.12259,0.80131,0.99932,1,0.995,0.94897,0.33814,0.13692,0.83039,5.70564e-05,5.70564e-05,5.70564e-05
137,2489.79,0.25325,0.12212,0.80641,0.99933,1,0.995,0.95049,0.32029,0.13249,0.82581,5.18885e-05,5.18885e-05,5.18885e-05
138,2507.58,0.24999,0.11907,0.79763,0.99932,1,0.995,0.9521,0.33078,0.1326,0.8314,4.7067e-05,4.7067e-05,4.7067e-05
139,2525.23,0.24783,0.11916,0.80372,0.99933,1,0.995,0.95044,0.34214,0.13819,0.83368,4.25941e-05,4.25941e-05,4.25941e-05
140,2543.09,0.25312,0.11944,0.81219,0.99932,1,0.995,0.951,0.33407,0.13714,0.83115,3.84718e-05,3.84718e-05,3.84718e-05
141,2560.75,0.24842,0.11929,0.8085,0.99931,1,0.995,0.95348,0.3382,0.13672,0.83514,3.47018e-05,3.47018e-05,3.47018e-05
142,2578.9,0.25131,0.1186,0.80077,0.99933,1,0.995,0.95131,0.33407,0.13349,0.83342,3.12859e-05,3.12859e-05,3.12859e-05
143,2596.58,0.24829,0.11822,0.80304,0.99931,1,0.995,0.95011,0.3376,0.1364,0.83656,2.82256e-05,2.82256e-05,2.82256e-05
144,2614.16,0.24895,0.11789,0.80585,0.99932,1,0.995,0.95351,0.33584,0.1339,0.83502,2.55221e-05,2.55221e-05,2.55221e-05
145,2631.87,0.24782,0.11836,0.8005,0.99932,1,0.995,0.95035,0.33791,0.13483,0.83311,2.31767e-05,2.31767e-05,2.31767e-05
146,2649.68,0.25128,0.11801,0.80398,0.99931,1,0.995,0.9535,0.33392,0.13351,0.83267,2.11903e-05,2.11903e-05,2.11903e-05
147,2667.32,0.24531,0.11593,0.80354,0.99932,1,0.995,0.95236,0.34193,0.13548,0.83469,1.9564e-05,1.9564e-05,1.9564e-05
148,2685.08,0.2459,0.11734,0.80573,0.99932,1,0.995,0.95224,0.33701,0.13211,0.83414,1.82983e-05,1.82983e-05,1.82983e-05
149,2703.15,0.24588,0.11627,0.80772,0.99932,1,0.995,0.95352,0.33972,0.13487,0.83472,1.73938e-05,1.73938e-05,1.73938e-05
150,2720.83,0.24737,0.11687,0.80574,0.99933,1,0.995,0.9534,0.33434,0.13363,0.83398,1.6851e-05,1.6851e-05,1.6851e-05
